DATE,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYPrecip
2017-01-01 19:59,0.02,,,,,,,,0725,1703,
2017-01-01 23:59,,,52,45,48,-2.6,17,0,0725,1703,0.05
2017-01-02 00:59,0.01,,,,,,,,0725,1703,
2017-01-02 03:59,0.04,,,,,,,,0725,1703,
2017-01-02 04:59,0.01,,,,,,,,0725,1703,
2017-01-02 05:59,0.02,,,,,,,,0725,1703,
2017-01-02 20:59,0.01,,,,,,,,0726,1703,
2017-01-02 23:59,,,51,43,47,-3.6,18,0,0726,1703,0.10
2017-01-03 00:59,0.01,,,,,,,,0726,1703,
2017-01-03 01:59,0.03,,,,,,,,0726,1703,
2017-01-03 02:59,0.01,,,,,,,,0726,1703,
2017-01-03 03:59,0.03,,,,,,,,0726,1703,
2017-01-03 04:59,0.01,,,,,,,,0726,1703,
2017-01-03 05:59,0.01,,,,,,,,0726,1703,
2017-01-03 06:59,0.01,,,,,,,,0726,1703,
2017-01-03 07:59,0.02,,,,,,,,0726,1703,
2017-01-03 11:59,0.03,,,,,,,,0726,1703,
2017-01-03 12:59,0.03,,,,,,,,0726,1703,
2017-01-03 13:59,0.04,,,,,,,,0726,1703,
2017-01-03 14:59,0.03,,,,,,,,0726,1703,
2017-01-03 15:59,0.05,,,,,,,,0726,1703,
2017-01-03 16:59,0.02,,,,,,,,0726,1704,
2017-01-03 17:59,0.03,,,,,,,,0726,1704,
2017-01-03 18:59,0.01,,,,,,,,0726,1704,
2017-01-03 19:59,0.01,,,,,,,,0726,1704,
2017-01-03 20:59,0.01,,,,,,,,0726,1704,
2017-01-03 21:59,0.01,,,,,,,,0726,1704,
2017-01-03 23:59,,,58,47,52,1.4,13,0,0726,1704,0.40
2017-01-04 00:59,0.15,,,,,,,,0726,1704,
2017-01-04 01:59,0.16,,,,,,,,0726,1704,
2017-01-04 02:59,0.03,,,,,,,,0726,1704,
2017-01-04 03:59,0.15,,,,,,,,0726,1704,
2017-01-04 04:59,0.05,,,,,,,,0726,1704,
2017-01-04 05:59,0.02,,,,,,,,0726,1704,
2017-01-04 06:59,0.01,,,,,,,,0726,1704,
2017-01-04 14:59,0.01,,,,,,,,0726,1704,
2017-01-04 15:59,0.02,,,,,,,,0726,1704,
2017-01-04 16:59,0.03,,,,,,,,0726,1705,
2017-01-04 17:59,0.02,,,,,,,,0726,1705,
2017-01-04 18:59,0.05,,,,,,,,0726,1705,
2017-01-04 19:59,0.10,,,,,,,,0726,1705,
2017-01-04 20:59,0.04,,,,,,,,0726,1705,
2017-01-04 21:59,0.01,,,,,,,,0726,1705,
2017-01-04 22:59,0.03,,,,,,,,0726,1705,
2017-01-04 23:59,,,58,46,52,1.4,13,0,0726,1705,0.89
2017-01-05 10:59,0.01,,,,,,,,0726,1705,
2017-01-05 23:59,,,50,42,46,-4.6,19,0,0726,1706,0.01
2017-01-06 23:59,,,50,39,45,-5.7,20,0,0726,1707,0.00
2017-01-07 01:59,0.01,,,,,,,,0726,1707,
2017-01-07 02:59,0.03,,,,,,,,0726,1707,
2017-01-07 04:59,0.08,,,,,,,,0726,1707,
2017-01-07 05:59,0.14,,,,,,,,0726,1707,
2017-01-07 06:59,0.12,,,,,,,,0726,1707,
2017-01-07 07:59,0.08,,,,,,,,0726,1707,
2017-01-07 08:59,0.01,,,,,,,,0726,1707,
2017-01-07 11:59,0.01,,,,,,,,0726,1707,
2017-01-07 20:59,0.03,,,,,,,,0726,1708,
2017-01-07 21:59,0.06,,,,,,,,0726,1708,
2017-01-07 22:59,0.04,,,,,,,,0726,1708,
2017-01-07 23:59,,,60,44,52,1.3,13,0,0726,1708,0.82
2017-01-08 00:59,0.18,,,,,,,,0726,1708,
2017-01-08 01:59,0.04,,,,,,,,0726,1708,
2017-01-08 02:59,0.16,,,,,,,,0726,1708,
2017-01-08 03:59,0.09,,,,,,,,0726,1708,
2017-01-08 04:59,0.01,,,,,,,,0726,1708,
2017-01-08 05:59,0.04,,,,,,,,0726,1708,
2017-01-08 06:59,0.19,,,,,,,,0726,1708,
2017-01-08 07:59,0.14,,,,,,,,0726,1708,
2017-01-08 08:59,0.03,,,,,,,,0726,1708,
2017-01-08 09:59,0.02,,,,,,,,0726,1708,
2017-01-08 10:59,0.06,,,,,,,,0726,1708,
2017-01-08 11:59,0.05,,,,,,,,0726,1708,
2017-01-08 12:59,0.05,,,,,,,,0726,1708,
2017-01-08 13:59,0.01,,,,,,,,0726,1708,
2017-01-08 15:59,0.07,,,,,,,,0726,1708,
2017-01-08 17:59,0.02,,,,,,,,0725,1709,
2017-01-08 18:59,0.05,,,,,,,,0725,1709,
2017-01-08 19:59,0.07,,,,,,,,0725,1709,
2017-01-08 23:59,,,63,55,59,8.3,6,0,0725,1709,1.46
2017-01-09 00:59,0.03,,,,,,,,0725,1709,
2017-01-09 02:59,0.01,,,,,,,,0725,1709,
2017-01-09 15:59,0.03,,,,,,,,0725,1709,
